module,chapter,section,title,hasMeta,reviewedAt,risk,metaSource,urlCount,sourceUrl,license,tier,note
frontend,fe-c1,fe-c1-s1,"HTML 语义化与文档结构",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/HTML/Element,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c1,fe-c1-s2,"表单与无障碍输入",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Learn/Forms/Form_validation,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c1,fe-c1-s3,"多媒体与嵌入内容",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/img,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c1,fe-c1-s4,"元数据与 SEO 基础",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/HTML/Element/meta,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c1,fe-c1-s5,"HTML5 新特性与渐进增强",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Glossary/Progressive_enhancement,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c2,fe-c2-s1,"盒模型与文档流",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_box_model/Introduction_to_the_CSS_box_model,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c2,fe-c2-s2,"Flexbox 弹性布局",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_flexible_box_layout/Basic_concepts_of_flexbox,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c2,fe-c2-s3,"CSS Grid 网格布局",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_grid_layout/Basic_concepts_of_grid_layout,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c2,fe-c2-s4,"定位、层叠与 BFC",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/CSS/position,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c2,fe-c2-s5,"响应式设计与媒体查询",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_media_queries/Responsive_design,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c2,fe-c2-s6,"CSS 变量与现代化特性",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/CSS/CSS_cascading_variables/Using_CSS_custom_properties,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c3,fe-c3-s1,"数据类型与类型转换",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Data_structures,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c3,fe-c3-s2,"变量作用域与提升",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Glossary/Hoisting,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c3,fe-c3-s3,"闭包与高阶函数",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Closures,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c3,fe-c3-s4,"this 绑定规则",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/this,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c3,fe-c3-s5,"原型链与继承",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Inheritance_and_the_prototype_chain,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c3,fe-c3-s6,"ES6+ 现代语法",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Optional_chaining,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c4,fe-c4-s1,"单线程与事件循环",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Event_loop,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c4,fe-c4-s2,"Promise 与 then/catch/finally",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c4,fe-c4-s3,"async/await 与错误处理",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Statements/async_function,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c4,fe-c4-s4,"微任务与宏任务执行顺序",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Event_loop,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c4,fe-c4-s5,"fetch 与异步数据流",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/API/Fetch_API,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c4,fe-c4-s6,"并发控制与竞态",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Promise,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c5,fe-c5-s1,"选择器与节点操作",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/API/Document/querySelectorAll,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c5,fe-c5-s2,"事件机制与事件委托",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/API/Event/currentTarget,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c5,fe-c5-s3,"浏览器存储",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/API/Window/localStorage,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c5,fe-c5-s4,"History API 与路由原理",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/API/History_API,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c5,fe-c5-s5,"视口、尺寸与滚动",1,2026-08-02,低,官方(可溯源),1,https://developer.mozilla.org/en-US/docs/Web/API/Element/getBoundingClientRect,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c5,fe-c5-s6,"定时器与动画",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/API/Window/setTimeout,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c6,fe-c6-s1,"从 URL 到页面渲染的全过程",1,2026-08-02,低,官方(可溯源),2,https://developer.mozilla.org/en-US/docs/Web/Performance/Guides/How_browsers_work,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c6,fe-c6-s2,"渲染管线：解析/布局/绘制/合成",1,2026-08-02,低,官方(可溯源),3,https://developer.mozilla.org/en-US/docs/Web/Performance/Guides/Critical_rendering_path,cc-by-sa,amber,"MDN · CC-BY-SA（相同方式分享，具传染性）"
frontend,fe-c6,fe-c6-s3,"重排与重绘优化",1,2026-08-02,低,官方(可溯源),3,https://web.dev/articles/avoid-large-complex-layouts-and-layout-thrashing,unknown,amber,"其他来源 · 待核实"
