id,track,subtrack,old_tech,new_tech,rule
"rq-f-fe-mobile-4-6","frontend","fe-mobile","综合","综合应用","兜底"
"rq-f-fe-native-junior-2-1","frontend","fe-native","综合","综合应用","兜底"
"rq-f-fe-native-junior-2-2","frontend","fe-native","综合","综合应用","兜底"
"rq-f-fe-native-junior-2-3","frontend","fe-native","综合","综合应用","兜底"
"rq-f-fe-native-junior-2-4","frontend","fe-native","综合","综合应用","兜底"
"rq-f-fe-native-junior-2-5","frontend","fe-native","综合","综合应用","兜底"
"rq-f-fe-native-junior-2-6","frontend","fe-native","综合","综合应用","兜底"
"rq-b-be-data-0-1","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-0-2","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-0-3","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-1-1","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-1-2","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-1-3","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-1-5","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-1-7","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-3-1","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-data-3-2","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-data-3-3","backend","be-data","微服务","调度与集成","调度与集成"
"rq-b-be-data-3-4","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-3-5","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-data-3-6","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-data-4-1","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-4-2","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-4-3","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-4-4","backend","be-data","MySQL","调度与集成","调度与集成"
"rq-b-be-data-3-1-r2","backend","be-data","MySQL","调度与集成","调度与集成"
"rq-b-be-data-3-2-r2","backend","be-data","MySQL","调度与集成","调度与集成"
"rq-b-be-data-3-3-r2","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-3-4-r2","backend","be-data","消息队列","Kafka","Kafka"
"rq-b-be-data-3-1-r3","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-3-2-r3","backend","be-data","系统设计","Spark","Spark"
"rq-b-be-data-3-3-r3","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-3-4-r3","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-3-5-r2","backend","be-data","系统设计","Spark","Spark"
"rq-b-be-data-3-8","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-2-1","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-2-2","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-2-3","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-2-5","backend","be-data","系统设计","Spark","Spark"
"rq-b-be-data-2-6","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-test-3-6","backend","be-test","综合","综合应用","兜底"
"rq-b-be-data-senior-0-1","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-senior-0-2","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-senior-0-3","backend","be-data","系统设计","Flink","Flink"
"rq-b-be-data-senior-0-4","backend","be-data","系统设计","Spark","Spark"
"rq-b-be-data-senior-0-6","backend","be-data","系统设计","Flink","Flink"
"rq-b-be-data-senior-0-7","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-web-junior-2-7","backend","be-web","综合","综合应用","兜底"
"rq-b-be-data-junior-2-1","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-junior-2-2","backend","be-data","系统设计","综合应用","兜底"
"rq-b-be-data-junior-2-3","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-junior-2-4","backend","be-data","系统设计","数仓建模","数仓建模"
"rq-b-be-data-junior-2-5","backend","be-data","系统设计","调度与集成","调度与集成"
"rq-b-be-data-mid-0-1","backend","be-data","微服务","数仓建模","数仓建模"
"rq-b-be-data-mid-0-2","backend","be-data","微服务","Spark","Spark"
"rq-b-be-data-mid-0-3","backend","be-data","微服务","Spark","Spark"
"rq-b-be-data-mid-0-4","backend","be-data","微服务","Spark","Spark"
"rq-b-be-data-mid-0-5","backend","be-data","微服务","Spark","Spark"
"rq-b-be-data-junior-1-1","backend","be-data","MySQL","数仓建模","数仓建模"
"rq-b-be-data-junior-1-2","backend","be-data","MySQL","Kafka","Kafka"
"rq-b-be-data-junior-1-3","backend","be-data","MySQL","Hive","Hive"
"rq-b-be-data-junior-1-4","backend","be-data","MySQL","Hive","Hive"
"rq-b-be-data-mid-2-1","backend","be-data","消息队列","Kafka","Kafka"
"rq-b-be-data-mid-2-2","backend","be-data","消息队列","Kafka","Kafka"
"rq-b-be-data-mid-2-3","backend","be-data","消息队列","Kafka","Kafka"
"rq-b-be-data-mid-2-4","backend","be-data","消息队列","数仓建模","数仓建模"
"rq-b-be-data-mid-2-5","backend","be-data","消息队列","Kafka","Kafka"
"rq-b-be-data-mid-1-1","backend","be-data","微服务","Flink","Flink"
