kind,id,track,tech,title,source,license,status,suspicious
question,bq12,backend,MySQL,"MySQL 慢查询如何系统性排查？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq16,backend,MySQL,"为什么 MySQL 索引用 B+ 树而不是 B 树或哈希？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq2,backend,MySQL,"MySQL 为什么用 B+ 树作为索引结构？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq25,backend,MySQL,"MySQL 慢查询如何排查与优化？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq26,backend,数据库原理,"分库分表的设计与落地",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq32,backend,数据库原理,"数据库事务的 ACID 是什么？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq35,backend,数据库原理,"什么是 N+1 查询问题？如何解决？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq4,backend,MySQL,"MySQL 事务隔离级别与 MVCC 实现原理",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq40,backend,数据库原理,"数据库死锁的产生与排查",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq42,backend,数据库原理,"B+ 树索引为什么适合数据库？与跳表/哈希索引对比。",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq43,backend,数据库原理,"数据库 WAL（预写日志）的作用是什么？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq44,backend,数据库原理,"数据库分库分表（sharding）的路由与坑。",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq46,backend,数据库原理,"数据库迁移（schema migration）的线上安全做法。",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq50,backend,数据库原理,"数据库读写分离与复制延迟问题。",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq53,backend,数据库原理,"数据库连接泄漏的常见原因与排查。",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq58,backend,数据库原理,"数据库死锁的成因与预防。",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bq9,backend,MySQL,"MySQL 索引失效的常见场景有哪些？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bs12,backend,数据库原理,"百万级数据如何做分页而不慢？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
question,bs14,backend,数据库原理,"如何做数据库读写分离与数据同步？",https://dev.mysql.com/doc/refman/8.4/en/,proprietary,draft,
