id,track,subtrack,tech,skill,source,q_preview
"rq-a-ai-algo-0-1","ai","ai-algo","部署与成本","数学与机器学习基础","","请解释梯度下降法的核心思想，并说明批量梯度下降（BGD）、随机梯度下降（SGD）和小批量梯度下降（Mini-batch GD）三者的区别。在训练一个大规模图像分类模型时，你会选择哪种？为什么？"
"rq-a-ai-algo-0-1-r2","ai","ai-algo","部署与成本","模型训练与调参","","在模型训练中，学习率（Learning Rate）的选择对训练结果影响巨大。请从概念上解释什么是学习率，并说明学习率过大或过小分别会导致什么问题？同时，请给出一种常用的学习率调度策略（Learning Rate Schedule）及其适用场"
"rq-a-ai-algo-0-2","ai","ai-algo","部署与成本","数学与机器学习基础","","在逻辑回归中，为什么损失函数使用交叉熵而不是均方误差（MSE）？请从数学推导和优化角度解释。"
"rq-a-ai-algo-0-2-r2","ai","ai-algo","部署与成本","模型训练与调参","","在训练神经网络时，过拟合（Overfitting）是常见问题。请列举至少三种常用的正则化（Regularization）方法，并分别说明其原理和适用场景。同时，如何判断模型是否过拟合？"
"rq-a-ai-algo-0-3","ai","ai-algo","部署与成本","数学与机器学习基础","","在特征工程中，对连续特征进行标准化（Z-score）和归一化（Min-Max）有何区别？在梯度下降训练的线性回归模型中，为什么标准化能加速收敛？如果测试集中出现了训练集从未见过的新样本，其特征值超出训练集范围，哪种方法更稳健？"
"rq-a-ai-algo-0-3-r2","ai","ai-algo","部署与成本","模型训练与调参","","在深度学习训练中，混合精度训练（Mixed Precision Training）已成为标配。请解释其核心原理，并说明在 PyTorch 中如何实现？在训练过程中可能出现哪些问题，如何解决？"
"rq-a-ai-algo-0-4","ai","ai-algo","部署与成本","数学与机器学习基础","","请推导线性回归的闭式解（正规方程），并说明其适用条件。当特征矩阵 X 的列之间存在高度多重共线性时，闭式解会出现什么问题？如何用岭回归（L2 正则）解决？"
"rq-a-ai-algo-0-4-r2","ai","ai-algo","部署与成本","模型训练与调参","","在分布式训练中，数据并行（Data Parallelism）是最基础的模式。请对比 `DataParallel`（DP）和 `DistributedDataParallel`（DDP）的区别，并说明 DDP 的梯度同步机制。在实际工程中，你"
"rq-a-ai-algo-0-5","ai","ai-algo","部署与成本","数学与机器学习基础","","在朴素贝叶斯分类器中，为什么需要“朴素”假设？当特征之间高度相关时（如文本分类中的“金融”和“银行”），朴素贝叶斯会表现如何？请给出至少两种缓解该问题的方法，并说明其原理。"
"rq-a-ai-algo-0-5-r2","ai","ai-algo","部署与成本","模型训练与调参","","在实际训练中，你遇到训练 loss 不下降或震荡的情况。请从学习率、数据、模型结构、优化器四个维度，列出排查思路和解决方案。请给出一个具体的排查流程。"
"rq-a-ai-algo-0-6","ai","ai-algo","部署与成本","数学与机器学习基础","","请用 Python 实现一个简单的逻辑回归模型（仅用 NumPy），要求包含：sigmoid 函数、交叉熵损失计算、小批量梯度下降训练过程，并在代码中标注防止除零的数值稳定处理。最后说明训练完成后如何对新样本进行预测。"
"rq-a-ai-algo-0-6-r2","ai","ai-algo","部署与成本","模型训练与调参","","请对比 L1 正则化与 L2 正则化的数学形式、效果差异及适用场景。并说明为什么 L1 能产生稀疏解而 L2 不能？在深度学习中，你更倾向于使用哪一种，为什么？"
"rq-a-ai-algo-0-7","ai","ai-algo","部署与成本","数学与机器学习基础","","在概率统计中，极大似然估计（MLE）和最大后验估计（MAP）有何区别？请以抛硬币为例，说明当先验为 Beta 分布时，MAP 的估计结果如何随样本量变化，并解释其与贝叶斯估计的关系。"
"rq-a-ai-algo-0-7-r2","ai","ai-algo","部署与成本","模型训练与调参","","在训练 Transformer 类模型（如 BERT、GPT）时，你发现训练早期 loss 剧烈震荡甚至出现 NaN。请分析可能的原因，并给出至少三种解决方案。请结合 Transformer 的结构特点说明。"
"rq-a-ai-algo-1-1","ai","ai-algo","部署与成本","领域方向深入","","请从算法工程师视角，系统阐述你选择的领域（CV/NLP/推荐）中“主流方案”的完整技术栈，并说明各层组件之间的数据流与核心设计考量。"
"rq-a-ai-algo-1-1-r2","ai","ai-algo","部署与成本","深度学习框架","","请解释 PyTorch 中张量（Tensor）与 NumPy 数组的核心区别，并说明如何实现两者间的相互转换（含 GPU 场景）。"
"rq-a-ai-algo-1-2","ai","ai-algo","部署与成本","领域方向深入","","在NLP领域，Transformer架构为何成为主流？请从自注意力机制的原理出发，说明它如何解决RNN/LSTM的长期依赖问题，并指出其计算瓶颈及常见缓解策略。"
"rq-a-ai-algo-1-2-r2","ai","ai-algo","部署与成本","深度学习框架","","请详细解释 PyTorch 的自动求导（autograd）机制，包括计算图的构建与反向传播过程，以及 `detach()` 和 `requires_grad` 的作用。"
"rq-a-ai-algo-1-3","ai","ai-algo","部署与成本","领域方向深入","","在CV领域，目标检测的主流方案分为两阶段（Faster R-CNN）和单阶段（YOLO/RetinaNet），请对比两者的核心差异，并说明在工业落地中如何选择。"
"rq-a-ai-algo-1-3-r2","ai","ai-algo","部署与成本","深度学习框架","","在 PyTorch 中，`Dataset`、`DataLoader` 和 `Sampler` 三者的职责分别是什么？如何自定义一个 Dataset 并处理变长序列的 batch 填充（padding）？"
